category,rating,label,text_
Pet_Supplies_5,5.0,CG,"I've replaced all my other fountain filters and the reservoir is still full. This is the only one I've seen that seems to work, and it is the only one I've used that does not leak. It's not clear how it will hold up if I use it on my cats, but it's pretty good."
Pet_Supplies_5,5.0,CG,Both of my dogs (full grown) love the taste. I will keep this for the next couple of months. Great price! I will definitely order again!I bought this for my puppy's tank.  It is a good size for
Pet_Supplies_5,5.0,CG,"this was great for our little ones, they love it.

The only reason I gave it"
Pet_Supplies_5,5.0,CG,"Pleased with the results, they are a little pricey, but I will keep them for the long"
Pet_Supplies_5,1.0,CG,"My cats used to eat this and it was very healthy for them.My dog loves this treat.I bought this for a friend's cat and she is a huge fan of it. It is a little hard to get on her, but it's not really heavy so it's not a problem. It's a bit heavy for her, but she's not"
Pet_Supplies_5,5.0,CG,Great product and able to use it as an alternative to the cold weather shampoo. I have used the
Pet_Supplies_5,5.0,CG,"My Pomeranian loves these. I use them as an alternative to the cold weather pills that I have used.I bought this for my dog, and it is"
Pet_Supplies_5,5.0,CG,"At first, we thought the smell of the cat food would be a little overpowering, but the cats loved it.  The cats liked it too, as we have had a lot of cat food.  It's not a cat food that is particularly sweet or sweet to the cats, but it is a cat food that the cats are interested in.  They are happy with it.  It is quite a bit cheaper than the vet's.  I like that the cat food is sweet and not sweet to the cats, so I will buy it again.  I think it's a great addition to their diet.I have used this for a couple of years now"
Pet_Supplies_5,5.0,CG,I can tell the little ticks have been removed and they are now back to normal. I just hope that this keeps the ticks away from my dog and
Pet_Supplies_5,5.0,CG,"Love this harness, and it's a real shame.  The fit is nice, and the buckle fits.  If you want a nice, solid collar, the buckle is a great choice.  If you want a smaller collar, I would suggest a Large.  Otherwise, you should have the straps a bit longer than I do.  I had to buy a second one for my dog"
Pet_Supplies_5,5.0,CG,"Great comb, really gets down on the neck.  Not too hard or heavy for the size of the hair."
Pet_Supplies_5,3.0,CG,"This double leash *does* free-float the leash, which is a nice bonus. I have one of these two in the house. The other one is the plastic one. The plastic one is just a little larger and will be a pain to bend. This one is still a bit larger and harder to"
Pet_Supplies_5,5.0,CG,Got a great deal on this. The shipping was fast and it arrived within 2 weeks.  The other two I had
Pet_Supplies_5,4.0,CG,We use this harness on my 9 year old Lab. He is a small lab and does not seem to be able to slip or run. He is a very tall lab and it is nice to have him in the harness. I would highly recommend this product.I purchased this for my dog and it's great for him to go out in the yard and not worry about him being able to get away from me. I like the fact that it's padded and that it keeps him warm. I have a dog that is very hard on things and this is one of
Pet_Supplies_5,4.0,CG,"My dogs love these, and they last a long time. I will keep them for a long time. I bought this for a friend who has a small dog and she had a very large ear."
Pet_Supplies_5,5.0,CG,"When I got a little older, I thought it would be a nice addition to the litter box. I had to replace the cat litter every couple of months. I now use it everyday and it does not smell bad. I have 4 cats and they have been using it for about a month now and it is getting old and dusty. I also use it on my couch and I put a few times a day on it. I have not noticed any odor or dust on the floor. I am not sure how long it will last but I am hoping it will last. I don't want my cats to get sick from this. I have been using this to keep my dogs ears clean and my cat's ears are very nice. It is also great for keeping my dogs teeth clean."
Pet_Supplies_5,2.0,CG,"Beware! Bugs hatching from the web. The only problem is that it's kind of hard to find.I bought this for a friend who has a small dog and she had a very large ear. She had no issues with it.I was skeptical about the price but it was cheaper than the Petco stores. I was going to buy a medium but the dog is a rescue and the size is just right. I have a dog that is on a diet and a small dog so I have to be careful of my dog as they are too small for me.  I put this in a bag and it's a real good price.

I would not recommend this to anyone unless you have a large dog and a small dog.I bought this for my Yorkie and it works perfectly. My dog is a little hard on toys but she loves this toy. It's well made and the squeakers are loud. She's a very picky eater.My cats love this food. My dog is about 20 lbs. and he was very picky about it.  I would recommend this food to anyone with a picky dog. I give it to my cat twice a day"
Pet_Supplies_5,1.0,CG,I have 2 young cats and have been using this litter for a long time. I have one older cat and one younger cat. The younger cat is a very picky eater and has been taking this litter for days. She's a bit lazy but I think this is helping
Pet_Supplies_5,5.0,CG,"Looks exactly as the picture. I have an 80 pound lab mix and this harness fits him just fine. The harness is also a bit small for him to wear when he is walking but it's well made and well made. The size is perfect for him to wear when walking with us. I have a German Shepherd and a 60 pound lab mix. He has a very long chest and a narrow chest. The harness fits him perfectly and is well made. The harness is adjustable so he can be adjusted. I love that it is made in the USA. I am very pleased with this purchase and will buy it again. This is a very good dog food. I have three dogs, two of whom are tall and skinny. I've had a variety of dog food brands, but this one is the best for them. The ingredients are good, the taste is good, and the dog is happy. I use this food for a week or so and the dogs seem to like it. It's not a terrible food, but I do notice a slight difference in their teeth. The dog would not eat anything else, but this food did help with their teeth."
Pet_Supplies_5,4.0,CG,Great light. Both modes bright. We have two medium-size dogs and they love it.Very nice.I bought this for
Pet_Supplies_5,4.0,CG,These are the most affordable and effective treatments for dogs. I will continue to use this as long as I
Pet_Supplies_5,4.0,CG,This is a great hermit crab. The only problem is that it's kind of hard to find.I bought this for a friend who has a small dog and she
Pet_Supplies_5,5.0,CG,"Been trying to get my dog to eat the food. I will keep this bag in the house.I bought this for a friend who has a small dog and she had a very large ear. She had no issues with it, it was perfect for her ears. I ordered the larger size and it fit perfectly for her ears. I would recommend this product to anyone who has a small dog.This is a very good collar for"
Pet_Supplies_5,5.0,CG,Absolutely love this!  My dog has been on it for two months now and it's been awesome
Pet_Supplies_5,5.0,CG,"This works great for our African Grey, as long as we keep her close to the door and we don't have to open the door.  The dog is not a great chewer but it's a great way to keep her busy for a few minutes.  I recommend this for anyone who has a dog with a sensitive stomach"
Pet_Supplies_5,5.0,CG,"My cat is really, really happy with the quality and durability of this product.  She's just starting to get used to it.  I also like the fact that the cardboard is made of a softer material and she doesn't mind it being chewed.  She still sheds a lot but she seems to enjoy this toy and it's a great way to keep her out of trouble.  I just wish there was a way to cut the metal bars so it wouldn't slide out.  I have a dog that is very hard on things and this is one of the only toys that doesn't break apart and she still likes it.

I would definitely buy this again.  I'm going to have to"
Pet_Supplies_5,5.0,CG,"Bigger than I expected,  and it's a very comfortable collar.  My only complaint is the extra long neck strap.  I wish it came in the plastic one.  I would have bought it in the smaller"
Pet_Supplies_5,5.0,CG,Hazel loved her new bone.  She was a very playful puppy and she didn't mind eating
Pet_Supplies_5,3.0,CG,"This product was very dry. I had to re-filter it once, and the odor stayed."
Pet_Supplies_5,5.0,CG,"I bought the L02 for my puppy and she loves it.  She also loves the squeaker.  She plays with it often, but it is the squeaker that is really calming her.  I have been using this toy for several years.  I will be buying another for the puppy soon.My dog is the most picky eater I have ever seen.  I give her a lot of treats and I give her a lot of treats because she loves to eat so much.  She is eating about 1/4 cup every day, which is about half the size of a regular food.  It is definitely a healthy food for her and she eats it without hesitation.  I am going to give this 5 stars because it is not too expensive.  I have had it for a while now and I have noticed that it has no additives in it.  She is not picky, so I don't think I will be eating this again.

I bought this because of the fact that the other dog food I have used for her has no additives.  I have never had this issue with her.  It is the best dog food out there.  I don't have any issues with any other dog food.  I have also used this for several months now.  It is a good dog food for a lot of dogs.I bought this because it was the best way to feed my dogs.  It is sturdy and"
Pet_Supplies_5,1.0,CG,"My puppy won't touch these, but I thought they would be a nice treat for the treat-"
Pet_Supplies_5,5.0,CG,"Scarfed down, happily and instantly.  She's an adult and has a lot of energy!"
Pet_Supplies_5,5.0,CG,Pretty sturdy. It has taken some time for the dogs to realize it's a trap.
Pet_Supplies_5,5.0,CG,These balls are tough tough and stretchy.  The squeaker comes off easily and the one we
Pet_Supplies_5,5.0,CG,Dig this Kong. My dogs go crazy over it.Very good quality. My dogs love this one.I bought this for a friend's cat and
Pet_Supplies_5,5.0,CG,I  love to watch my puppy chew on the litter box.  This is the only one he doesn't chew on.  The cat loves it!
Pet_Supplies_5,4.0,CG,"I have two water fountains and a large pond and these are perfect.  They are easy to clean and so easy to refill.  I also like the fact that the filter is adjustable so it doesn't spill.  The water is clean and the water flow is excellent.

I highly recommend these filters for your fish and will continue to buy them.  I've had great success with my Golden Retriever and I am very happy with the results.This product works great on my dogs' back feet. I use it on"
Pet_Supplies_5,5.0,CG,Really easy to use and holds up well.  The two large bowls are just the right size.
Pet_Supplies_5,2.0,CG,"Beautiful TEE shirt for canines.  The only problem is that it's too small for my dog.  If you want a nice, solid shirt, the TEE shirt is the"
Pet_Supplies_5,4.0,CG,My dog loved this one and it was the best purchase I have made for him.
Pet_Supplies_5,5.0,CG,Works great for training my dog. The only problem is that it's kind of hard to put on
Pet_Supplies_5,5.0,CG,"It showed up blue, not white. The only reason I didn't buy this is because the one we bought from the vet said it was ""too small"" and ""too big"". This is a bit small, but it is"
Pet_Supplies_5,2.0,CG,"my shepherd/retriever doesn't really like this toy, she's just too lazy to play"
Pet_Supplies_5,5.0,CG,"I found this on clearance and it was the perfect size for my puppy! He loves to scratch and is so small that it's a bit difficult to get out of the box.I have used this product for about a year now, and it works great.  I have had no issues with it.  I have the most trouble with the plastic gate on my dog's collar.  I just put it on and it seems to work.  I have a leash that is very strong and very easy to secure.  The plastic gate does not move and it does not feel secure on my dog's collar.  I have used it a couple of times, and it is still working.  I would definitely recommend this to anyone.This is a great product for getting your dog to go in and out of the crate.  I have a 10 year old Lab and he is not quite as aggressive as I thought"
Pet_Supplies_5,2.0,CG,"Not sure how to rate this product, but it is good enough.My dog loves this treat.I bought this for a friend who has a small dog and she had a very sensitive stomach. She had severe diarrhea in the past, and had been eating her food for a few months.  This food has held up well and she seems to be doing well with it. I also like that it has a grain-free ingredient, which is important"
Pet_Supplies_5,5.0,CG,we give one at noon and it's fine. I will keep my dogs in the house. I bought this for a friend who has a small dog and she had a very large ear. It was her only ear.
Pet_Supplies_5,3.0,CG,I am not sure this is an issue with the litter box but I do not think it has. I bought this for a friend who has a small dog and she had a very large ear. It was hard to get the ear out of it.
